Name of Initiative,Organization Name,Notes,Location 1,Street Address,City,State,State Based,Episodes,Facebook,Twitter,Youtube,Website
BPCI Initiative: Model 1,Deborah Heart and Lung Center,Convening Organization: New Jersey Hospital Association (NJHA),"200 Trenton Road
Brown Mills, NJ
(39.9794, -74.5717)",200 Trenton Road,Brown Mills,NJ,,All DRGs,,,,
BPCI Initiative: Model 1,St. Mary's Hospital Passaic,Convening Organization: New Jersey Hospital Association (NJHA),"350 Boulevard
Passaic, NJ
(40.858320611255245, -74.1371670326009)",350 Boulevard,Passaic,NJ,,All DRGs,,,,
BPCI Initiative: Model 1,The Valley Hospital,Convening Organization: New Jersey Hospital Association (NJHA),"223 N. Van Dien Avenue
Ridgewood, NJ
(40.983006728269686, -74.10174947990299)",223 N. Van Dien Avenue,Ridgewood,NJ,,All DRGs,,,,
BPCI Initiative: Model 1,Saint Peter's University Hospital,Convening Organization: New Jersey Hospital Association (NJHA),"254 Easton Avenue
New Brunswick, NJ
(40.50181548327242, -74.45908609502504)",254 Easton Avenue,New Brunswick,NJ ,,All DRGs,,,,
BPCI Initiative: Model 1,Hunterdon Medical Center,Convening Organization: New Jersey Hospital Association (NJHA),"2100 Wescott Drive
Flemington, NJ
(40.53256492698876, -74.86047582694827)",2100 Wescott Drive,Flemington,NJ ,,All DRGs,,,,
BPCI Initiative: Model 1,Jersey Shore University Medical Center,Convening Organization: New Jersey Hospital Association (NJHA),"1945 Route 33
Neptune, NJ
(40.20727852545639, -74.04243019885035)",1945 Route 33,Neptune,NJ ,,All DRGs,,,,
BPCI Initiative: Model 1,Morristown Medical Center,Convening Organization: New Jersey Hospital Association (NJHA),"100 Madison Avenue
Morristown, NJ
(40.788085076922336, -74.46557671859901)",100 Madison Avenue,Morristown,NJ ,,All DRGs,,,,
BPCI Initiative: Model 1,Robert Wood Johnson University Hospital,Convening Organization: New Jersey Hospital Association (NJHA),"One Robert Wood Johnson Place
New Brunswick, NJ
(40.495712741257435, -74.45061084786053)",One Robert Wood Johnson Place,New Brunswick,NJ ,,All DRGs,,,,
BPCI Initiative: Model 1,Overlook Medical Center,Convening Organization: New Jersey Hospital Association (NJHA),"99 Beauvoir Avenue
Summit, NJ
(40.712320095010284, -74.35395704563514)",99 Beauvoir Avenue,Summit,NJ ,,All DRGs,,,,
BPCI Initiative: Model 1,Capital Health Medical Center - Hopewell,Convening Organization: New Jersey Hospital Association (NJHA),"1 Capital Way
Pennington, NJ
(40.329930000269485, -74.79153999987096)",1 Capital Way,Pennington,NJ,,All DRGs,,,,
BPCI Initiative: Model 1,Robert Wood Johnson University Hospital Hamilton,Convening Organization: New Jersey Hospital Association (NJHA),"One Hamilton Health Place
Hamilton, NJ
(40.217061730439106, -74.67485375343844)",One Hamilton Health Place,Hamilton,NJ,,All DRGs,,,,
BPCI Initiative: Model 1,Capital Health Regional Medical Center,Convening Organization: New Jersey Hospital Association (NJHA),"750 Brunswick Avenue
Trenton, NJ
(40.236128776156306, -74.75268775793057)",750 Brunswick Avenue,Trenton,NJ,,All DRGs,,,,
BPCI Initiative: Model 1,Inspira Medical Center Woodbury,Convening Organization: New Jersey Hospital Association (NJHA),"509 North Broad Street
Woodbury, NJ
(39.84381752731474, -75.14885709827786)",509 North Broad Street,Woodbury,NJ,,All DRGs,,,,
BPCI Initiative: Model 1,Inspira Medical Center Vineland,Convening Organization: New Jersey Hospital Association (NJHA),"1505 W. Sherman Avenue
Vineland, NJ
(39.447504295442855, -75.05915871907547)",1505 W. Sherman Avenue,Vineland,NJ ,,All DRGs,,,,
BPCI Initiative: Model 1,Inspira Medical Center Elmer,Convening Organization: New Jersey Hospital Association (NJHA),"501 Front Street
Elmer, NJ
(39.58811329472388, -75.17948800659582)",501 Front Street,Elmer,NJ ,,All DRGs,,,,
BPCI Initiative: Model 2,North Shore University Hospital (NSUH),Number of Episodes: 4  //  Convening Organization(s): North Shore LIJ Health Care Inc,"300 Community Dr.
Manhasset, NY
(40.7788336479577, -73.7029361327896)",300 Community Dr.,Manhasset,NY,,"Stroke, Major joint replacement of the lower extremity, Cardiac Valve, CABG",,,,
BPCI Initiative: Model 2,Lovelace Westside Medical Center,"Number of Episodes: 34  //  Convening Organization(s): NaviHealth, Inc.","10501 Golf Course Rd. NW
Albuquerque, NM
(35.207227906954245, -106.67577794046798)",10501 Golf Course Rd. NW,Albuquerque,NM,,"Urinary tract infection, Syncope & collapse, Spinal fusion (non-cervical), Revision of the hip or knee, Removal of orthopedic devices, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other knee procedures, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Double joint replacement of the lower extremity, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,Our Lady of Lourdes Medical Center,"Number of Episodes: 8  //  Convening Organization(s): NaviHealth, Inc.","1600 Handon Ave.
Camden, NJ
(39.94524999978785, -75.1191299999494)",1600 Handon Ave.,Camden,NJ ,,"Stroke, Simple pneumonia and respiratory infections, Other respiratory, Major joint replacement of the lower extremity, Hip & femur procedures except major joint, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, COPD, bronchitis/asthma",,,,
BPCI Initiative: Model 2,"Merrimack Valley Hospital, A Steward Family Hospital, Inc.","Number of Episodes: 48  //  Convening Organization(s): Remedy Partners, Inc ","140 Lincoln Ave.
Haverhill, MA
(42.76260240870451, -71.04513808807025)",140 Lincoln Ave.,Haverhill,MA,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,Presence Our Lady of the Resurrection Medical Center,Number of Episodes: 1  //  Convening Organization(s): Presence Health Network,"5645 West Addison St.
Chicago, IL
(41.94580801994825, -87.76783890402876)",5645 West Addison St.,Chicago,IL,,Major joint replacement of the lower extremity,,,,
BPCI Initiative: Model 2,Indiana Regional Medical Center,"Number of Episodes: 5  //  Convening Organization(s): Estes Park Institute, at Horty, Springer & Mattern","835 Hospital Rd.
Indiana, PA
(40.60847507594741, -79.15887107438448)",835 Hospital Rd.,Indiana,PA,,"Simple pneumonia and respiratory infections, Major joint upper extremity, Major joint replacement of the lower extremity, COPD, bronchitis/asthma, Congestive heart failure",,,,
BPCI Initiative: Model 2,Mountain Vista Medical Center,Number of Episodes: 1  //  Convening Organization(s): Health Choice Preferred Accountable Care LLC,"1301 S. Crismon Rd.
Mesa, AZ
(33.39108304166405, -111.61533116605915)",1301 S. Crismon Rd.,Mesa,AZ,,Major joint replacement of the lower extremity,,,,
BPCI Initiative: Model 2,St. Luke's Hospital Quakertown Hospital,"Number of Episodes: 48  //  Convening Organization(s): Remedy Partners, Inc ","11th St. and Park Ave.
Quakertown, PA
(40.43790965987034, -75.35006241589315)",11th St. and Park Ave.,Quakertown,PA,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,Berger Hospital,"Number of Episodes: 4  //  Convening Organization(s): Estes Park Institute, at Horty, Springer & Mattern","600 N. Pickaway St.
Circleville, OH
(39.609712909904445, -82.93794900377708)",600 N. Pickaway St.,Circleville,OH,,"Simple pneumonia and respiratory infections, Major joint upper extremity, Major joint replacement of the lower extremity, COPD, bronchitis/asthma",,,,
BPCI Initiative: Model 2,St. Joseph East,Number of Episodes: 5  //  Convening Organization(s): Catholic Health Initiatives,"150 North Eagle Creek Dr.
Lexington, KY
(38.00002750284392, -84.4405623728025)",150 North Eagle Creek Dr.,Lexington,KY,,"Simple pneumonia and respiratory infections, Revision of the hip or knee, Major joint replacement of the lower extremity, Congestive heart failure, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,Indian Path Medical Center,Number of Episodes: 2  //  Convening Organization(s): Geisinger Clinic and AnewCare,"2000 Brookside Dr.
Kingsport, TN
(36.5507043219757, -82.51782983349386)",2000 Brookside Dr.,Kingsport,TN,,"Major joint replacement of the lower extremity, Congestive heart failure",,,,
BPCI Initiative: Model 2,Johnston Memorial Hospital,Number of Episodes: 2  //  Convening Organization(s): Geisinger Clinic and AnewCare,"16000 Johnston Memorial Dr.
Abingdon, VA
(36.71049000041336, -81.97519000041802)",16000 Johnston Memorial Dr.,Abingdon,VA,,"Major joint replacement of the lower extremity, Congestive heart failure",,,,
BPCI Initiative: Model 2,Hospital of the University of Pennsylvania,"Number of Episodes: 48  //  Convening Organization(s): Remedy Partners, Inc ","3400 Spruce St.
Philadelphia, PA
(39.95039059405541, -75.19263661640763)",3400 Spruce St.,Philadelphia,PA,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,Einstein Medical Center Philadelphia and Einstein Medical Center Elkins Park,Number of Episodes: 48  //  Convening Organization(s): Association of American Medical Colleges and Albert Einstein Healthcare Network,"5501 Old York Rd.
Philadelphia, PA
(40.038258562254676, -75.14456815544996)",5501 Old York Rd.,Philadelphia,PA,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,Memorial Regional Hospital,"Number of Episodes: 2  //  Convening Organization(s): Premier, Inc.","3501 Johnson St.
Hollywood, FL
(26.018207221735054, -80.18076170305778)",3501 Johnson St.,Hollywood,FL,,"Cardiac Valve, CABG",,,,
BPCI Initiative: Model 2,Forbes Regional Hospital,"Number of Episodes: 48  //  Convening Organization(s): Remedy Partners, Inc ","2570 Haymaker Rd.
Monroeville, PA
(40.428477192078915, -79.75115750579211)",2570 Haymaker Rd.,Monroeville,PA,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,Marshall Medical Center,"Number of Episodes: 5  //  Convening Organization(s): Estes Park Institute, at Horty, Springer & Mattern","1100 Marshall Way
Placerville, CA
(38.725578330699534, -120.79099032340633)",1100 Marshall Way,Placerville,CA,,"Stroke, Simple pneumonia and respiratory infections, Major joint upper extremity, Major joint replacement of the lower extremity, Congestive heart failure",,,,
BPCI Initiative: Model 2,Henry Ford Wyandotte Hospital,Number of Episodes: 1  //  Convening Organization(s): Henry Ford Physician Network,"2333 Biddle Ave.
Wyandotte, MI
(42.210431752750964, -83.14887638042991)",2333 Biddle Ave.,Wyandotte,MI,,Major joint replacement of the lower extremity,,,,
BPCI Initiative: Model 2,Thomas Jefferson,Number of Episodes: 3  //  Convening Organization(s): Geisinger Clinic,"111 South 11th St.
Philadelphia, PA
(39.94977736163865, -75.15863241522088)",111 South 11th St.,Philadelphia,PA,,"Major joint replacement of the lower extremity, COPD, bronchitis/asthma, Congestive heart failure",,,,
BPCI Initiative: Model 2,Memorial Health University Medical Center,"Number of Episodes: 3  //  Convening Organization(s): Premier, Inc.","4700 Waters Ave.
Savannah, GA
(32.03232436725557, -81.09157706789222)",4700 Waters Ave.,Savannah,GA,,"Spinal fusion (non-cervical), Major joint replacement of the lower extremity, Major bowel",,,,
BPCI Initiative: Model 2,Jewish Hospital & Saint Mary's Health Care,Number of Episodes: 5  //  Convening Organization(s): Catholic Health Initiatives,"200 Abraham Flexner Way
Louisville, KY
(38.249349909419074, -85.75156848839013)",200 Abraham Flexner Way,Louisville,KY,,"Simple pneumonia and respiratory infections, Revision of the hip or knee, Major joint replacement of the lower extremity, Congestive heart failure, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,Good Samaritan Hospital,Number of Episodes: 3  //  Convening Organization(s): Catholic Health Initiatives,"10 East 31st St.
Kearney, NE
(40.70649662235311, -99.08187442817214)",10 East 31st St.,Kearney,NE,,"Major joint replacement of the lower extremity, Congestive heart failure, CABG",,,,
BPCI Initiative: Model 2,Einstein Medical Center Montgomery,"Number of Episodes: 48  //  Convening Organization(s): Remedy Partners, Inc ","559 W. Germantown Pike
E Norriton, PA
(40.142830000204526, -75.33127999957219)",559 W. Germantown Pike,E Norriton,PA ,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
